#OTU ID	H2_16	H2_17	H2_18
OTU2	5008	2937	3407
OTU31	101	73	269
OTU6	3392	1429	1838
OTU4	8358	5061	3587
OTU1	7255	1923	1882
OTU3	7887	4422	3949
OTU8	1207	500	283
OTU24	1275	763	606
OTU5	2322	1393	4126
OTU13	479	167	985
OTU7	768	427	3024
OTU14	737	232	228
OTU16	583	259	201
OTU68	22	9	65
OTU61	889	304	558
OTU9	591	311	297
OTU19	407	258	138
OTU18	209	83	207
OTU17	490	295	226
OTU11	550	331	152
OTU118	37	19	114
OTU114	142	42	129
OTU96	171	71	92
OTU35	11	36	15
OTU58	281	180	121
OTU21	110	50	79
OTU10	972	249	283
OTU86	630	154	175
OTU12	459	304	231
OTU15	235	104	144
OTU99	854	504	314
OTU23	158	49	54
OTU28	21	88	4
OTU20	240	140	165
OTU145	3	1	3
OTU33	104	39	20
OTU40	59	41	56
OTU50	7	4	1
OTU147	6	7	8
OTU25	107	11	37
OTU22	136	49	70
OTU125	24	13	22
OTU90	5	1	4
OTU98	2	0	0
OTU77	10	3	3
OTU32	50	31	26
OTU197	12	6	2
OTU37	40	21	10
OTU87	56	28	10
OTU29	36	27	29
OTU180	4	3	8
OTU34	46	15	21
OTU47	14	6	13
OTU44	14	12	11
OTU26	88	31	34
OTU54	8	2	4
OTU133	11	1	1
OTU45	13	1	12
OTU36	15	12	3
OTU75	2	5	4
OTU64	10	4	5
OTU107	6	0	19
OTU146	5	4	1
OTU43	21	8	11
OTU42	9	9	2
OTU51	5	2	1
OTU144	7	6	11
OTU46	10	11	31
OTU108	2	3	1
OTU110	15	2	5
OTU63	4	4	3
OTU30	8	75	54
OTU41	23	12	17
OTU52	4	1	7
OTU67	7	1	3
OTU104	2	3	3
OTU48	10	16	5
OTU153	1	0	3
OTU157	4	1	15
OTU101	4	2	1
OTU81	5	1	0
OTU121	3	1	4
OTU84	4	2	0
OTU131	3	2	0
OTU49	2	3	4
OTU120	3	0	16
OTU132	4	2	0
OTU88	3	1	2
OTU38	6	5	8
OTU97	2	1	1
OTU39	7	11	4
OTU78	2	1	2
OTU60	2	4	9
OTU162	2	0	0
OTU85	2	1	0
OTU89	1	1	3
OTU92	2	0	1
OTU62	1	1	1
OTU55	0	4	7
OTU115	0	1	3
OTU56	0	4	0
OTU69	0	0	2
OTU156	0	0	2
OTU151	0	0	2
