#OTU ID	H2_16	H2_17	H2_18
OTU119	3	0	0
OTU27	3	4	4
OTU8	162	85	148
OTU71	10	15	20
OTU15	24	14	77
OTU39	104	41	68
OTU101	8	2	10
OTU41	5	10	19
OTU49	15	22	20
OTU21	50	31	25
OTU32	55	32	15
OTU48	50	39	47
OTU18	173	113	131
OTU9	31	31	37
OTU6	911	572	714
OTU35	59	31	63
OTU24	25	9	17
OTU46	25	13	21
OTU56	41	19	49
OTU103	4	4	26
OTU76	120	68	400
OTU65	12	15	9
OTU25	44	36	56
OTU202	81	44	72
OTU89	10	16	13
OTU110	13	11	64
OTU96	20	6	16
OTU40	97	30	47
OTU160	8	9	6
OTU131	6	4	3
OTU150	7	12	14
OTU59	30	26	19
OTU107	231	173	197
OTU125	39	24	53
OTU151	1	0	5
OTU47	44	4	25
OTU140	14	7	7
OTU72	28	8	17
OTU66	20	9	34
OTU173	4	0	12
OTU22	44	26	112
OTU86	17	7	6
OTU78	7	2	6
OTU154	4	6	0
OTU108	6	0	0
OTU37	7	9	9
OTU3	51	29	266
OTU115	10	11	4
OTU10	57	49	65
OTU123	2	0	0
OTU122	67	47	98
OTU16	262	159	233
OTU77	11	3	8
OTU234	7	6	5
OTU17	98	33	144
OTU158	2	2	0
OTU169	12	9	8
OTU36	14	10	20
OTU230	5	0	0
OTU129	11	4	7
OTU23	94	51	152
OTU73	34	27	43
OTU62	21	36	16
OTU99	1	1	9
OTU83	18	4	4
OTU42	100	27	55
OTU58	11	6	23
OTU143	3	4	5
OTU138	2	0	8
OTU7	492	335	413
OTU28	78	31	90
OTU145	5	2	18
OTU51	497	308	359
OTU4	245	158	635
OTU114	138	95	362
OTU194	23	15	24
OTU124	12	9	13
OTU84	16	10	22
OTU38	55	23	38
OTU130	16	6	5
OTU13	162	83	161
OTU93	14	2	6
OTU61	5	0	4
OTU1	682	419	471
OTU85	2	4	14
OTU210	2	3	4
OTU55	25	18	28
OTU30	152	38	150
OTU20	62	24	202
OTU203	2	0	1
OTU64	7	2	10
OTU11	124	45	51
OTU120	13	5	12
OTU33	57	24	42
OTU43	22	15	18
OTU112	44	17	48
OTU186	7	2	1
OTU97	3	1	0
OTU95	34	15	39
OTU45	47	35	29
OTU5	164	55	171
OTU29	41	10	20
OTU141	2	2	6
OTU14	128	40	159
OTU94	8	8	11
OTU204	1	1	1
OTU68	13	11	17
OTU54	39	25	29
OTU180	6	1	1
OTU156	4	2	1
OTU121	2	0	10
OTU128	16	3	2
OTU106	6	2	6
OTU109	3	0	0
OTU133	4	0	0
OTU57	7	4	14
OTU142	6	7	9
OTU157	14	7	10
OTU81	6	0	5
OTU182	21	8	31
OTU155	12	11	8
OTU12	130	71	281
OTU100	41	27	16
OTU211	28	21	85
OTU192	2	0	2
OTU184	22	7	21
OTU126	40	9	18
OTU104	7	3	12
OTU60	10	7	5
OTU132	5	0	5
OTU74	6	7	2
OTU175	11	5	3
OTU31	15	22	26
OTU206	2	0	1
OTU134	2	1	1
OTU19	27	11	33
OTU44	9	4	6
OTU178	100	66	79
OTU209	2	0	1
OTU113	14	5	17
OTU79	17	6	31
OTU161	1	0	4
OTU90	1	0	2
OTU193	3	0	1
OTU127	2	0	1
OTU212	2	0	0
OTU166	2	1	0
OTU69	8	11	17
OTU188	6	4	11
OTU152	1	3	2
OTU191	33	18	16
OTU214	3	3	1
OTU63	1	4	0
OTU177	2	1	4
OTU148	2	1	2
OTU137	1	4	4
OTU105	2	0	0
OTU82	7	7	9
OTU185	2	1	1
OTU174	5	1	5
OTU117	5	1	2
OTU2	13	9	18
OTU26	0	15	25
OTU88	0	3	11
OTU118	0	3	0
OTU116	0	2	0
OTU170	0	3	0
OTU200	0	2	8
OTU139	0	2	0
OTU111	0	3	6
OTU197	0	2	0
OTU198	0	1	1
OTU34	0	8	3
OTU92	0	2	4
OTU164	0	1	0
OTU153	0	0	4
OTU91	0	0	4
OTU165	0	0	2
OTU98	0	0	5
OTU146	0	0	2
OTU171	0	0	2
OTU179	0	0	2
OTU176	0	0	2
OTU75	0	0	4
OTU136	0	0	2
