tax	ampH2_16	ampH2_17	ampH2_18	pcH2_16	pcH2_17	pcH2_18	mgH3_16	col
NS	NA	NA	NA	0.00843827080358302	0.00624164065983058	0.00564772326156018	NA	NS
NS-Alpha-3	0.0251804564609672	0.0210552911946772	0.00988508156065528	0.0214202258860184	0.0153811859117254	0.0104718202141428	NA	NS-Alpha
NS-Alpha-3.1	0.000229482204698127	4.21105823893544e-05	3.49296168221035e-05	NA	NA	NA	NA	NS-Alpha
NS-Alpha-3.1.1	8.34480744356824e-05	8.42211647787089e-05	3.49296168221035e-05	0.00220693236401402	0.00133749442710655	0.00364748793975762	NA	NS-Alpha
NS-Alpha-3.1.1.1	NA	NA	NA	0.00493314293132546	0.00824788230049042	0.00517707965643017	NA	NS-Alpha
NS-Alpha-3.1.1.1_OTU1	2.08620186089206e-05	4.21105823893544e-05	0.00010478885046631	NA	NA	NA	NA	NS-Alpha
NS-Alpha-3.1.1.1_OTU2	0.0102223891183711	0.0124226218048596	0.00789409340179538	0.000908736855770479	0.00133749442710655	0.000588304506412519	NA	NS-Alpha
NS-Alpha-3.1.1.1_OTU3	0.00849084157383068	0.0108645302564534	0.00482028712145028	0.020900947682721	0.0200624164065983	0.015648899870573	NA	NS-Alpha
NS-Alpha-3.1.1.2_OTU3	0.000146034130262444	0.000463216406282899	0.000139718467288414	0.00181747371154096	0.00111457868925546	0.00200023532180257	NA	NS-Alpha
NS-Alpha-3.1.1.3	4.17240372178412e-05	0.000210552911946772	0.000139718467288414	NA	NA	NA	NA	NS-Alpha
NS-Alpha-3.1.1.Incertae_sedis_OTU1	0.00210706387950098	0.00307407251442287	0.00939606692514583	0.0048033233805011	0.00557289344627731	0.016590187080833	NA	NS-Alpha
NS-Alpha-3.1.1_OTU4	0	0	6.98592336442069e-05	NA	NA	NA	NA	NS-Alpha
NS-Alpha-3.1.2	NA	NA	NA	0.00765935349863689	0.0086937137761926	0.00635368866925521	NA	NS-Alpha
NS-Alpha-3.1.2_OTU1	0.0123294529978721	0.0130963911230892	0.0103740961961647	NA	NA	NA	NA	NS-Alpha
NS-Alpha-3.1.2_OTU2	0.0180247840781074	0.0184865456689266	0.0112473366167173	0.0112943009217188	0.0205082478823005	0.0111777856218379	NA	NS-Alpha
NS-Alpha-3.2.1.1	NA	NA	NA	0.000389458652473062	0	0	NA	NS-Alpha
NS-Alpha-3.2.1.1.1.2_OTU2	8.34480744356824e-05	4.21105823893544e-05	0.000244507317754724	0.000129819550824354	0	0.000588304506412519	NA	NS-Alpha
NS-Alpha-3.2.2_OTU1	NA	NA	NA	0.000259639101648708	0	0	NA	NS-Alpha
NS-Alpha-3.2.2_OTU7	0.000104310093044603	4.21105823893544e-05	0	0.000389458652473062	0	0.000235321802565008	NA	NS-Alpha
NS-Alpha-3.2.3	NA	NA	NA	0	0.00334373606776638	0.0029415225320626	NA	NS-Alpha
NS-Alpha-3.2.3.1	0.000125172111653524	0.000210552911946772	0.000279436934576828	0.000649097754121771	0.00222915737851092	0.00329450523591011	NA	NS-Alpha
NS-Alpha-3.2.3.1.3_OTU1	0.000166896148871365	0.00315829367920158	0.00188619930839359	0	0.000668747213553277	0.00129426991410754	NA	NS-Alpha
NS-Alpha-3.2.3.1.4	NA	NA	NA	0	0.000668747213553277	0.000705965407695023	NA	NS-Alpha
NS-Alpha-3.2.3.1.4_OTU3	NA	NA	NA	0.000778917304946125	0.00178332590280874	0.00470643605130015	NA	NS-Alpha
NS-Alpha-3.2.3.1.7	NA	NA	NA	0.000389458652473062	0.000891662951404369	0.000470643605130015	NA	NS-Alpha
NS-Alpha-3.3.1	0.000229482204698127	0.00151598096601676	0.000523944252331552	0.00129819550824354	0.00334373606776638	0.00235321802565008	NA	NS-Alpha
NS-Alpha-3.3.1_OTU1	NA	NA	NA	0	0.000668747213553277	0	NA	NS-Alpha
NS-Alpha-3.3.1_OTU3	NA	NA	NA	0	0.000445831475702185	0.000941287210260031	NA	NS-Alpha
NS-Beta-1	NA	NA	NA	0.0144099701415033	0.0153811859117254	0.0200023532180257	NA	NS-Beta
NS-Beta-1_OTU10	0.0106604915091584	0.00745357308291574	0.0378637046351602	0.0133714137349085	0.0131520285332144	0.0234145193552183	NA	NS-Beta
NS-Beta-1_OTU4	0.00490257437309634	0.00437950056849286	0.0050298648223829	0.00181747371154096	0.00222915737851092	0.00235321802565008	NA	NS-Beta
NS-Beta-1_OTU6	0.000125172111653524	4.21105823893544e-05	0.000244507317754724	NA	NA	NA	NA	NS-Beta
NS-Beta-1_OTU9	0.00500688446614094	0.00589548153450962	0.00576338677564707	0.00610151888874464	0.0111457868925546	0.00423579244617014	NA	NS-Beta
NS-Beta-2	NA	NA	NA	0.00194729326236531	0.00222915737851092	0.000941287210260031	NA	NS-Beta
NS-Beta-2.1_OTU2	0.000312930279133809	0.000505326988672253	0.00010478885046631	0.0014280150590679	0.000668747213553277	0.000470643605130015	NA	NS-Beta
NS-Beta-2.2_OTU2	0.000834480744356824	0.000884322230176443	0.000349296168221035	0.00350512787225756	0.00156041016495765	0.00105894811154253	NA	NS-Beta
NS-Beta-2_OTU1	0.00104310093044603	0.00130542805406999	0.00090817003737469	0.00155783460989225	0.00245207311636202	0.000941287210260031	NA	NS-Beta
NS-Delta-1	0.0157091000125172	0.0170547858676885	0.0145656502148171	0.0904842269245748	0.0998662505572893	0.113778091540181	NA	NS-Delta
NS-Delta-1.1	0.000438102390787333	0.000210552911946772	0.000454085018687345	0.000519278203297417	0	0.00141193081539005	NA	NS-Delta
NS-Delta-1.1.2	6.25860558267618e-05	0	0.000558873869153655	NA	NA	NA	NA	NS-Delta
NS-Delta-1.1.2.1	NA	NA	NA	0.0247955342074516	0.0213999108337049	0.0715378279797623	NA	NS-Delta
NS-Delta-1.1.2.1_OTU12	0.0028372345308132	0.00206341853707837	0.00244507317754724	0.00181747371154096	0.000445831475702185	0.000705965407695023	NA	NS-Delta
NS-Delta-1.1.2.1_OTU13	0.016022030291651	0.0179812186802543	0.105627161270041	0.00778917304946125	0.00757913508693714	0.0324744087539711	NA	NS-Delta
NS-Delta-1.1.2.2	NA	NA	NA	0.000778917304946125	0.000445831475702185	0.000705965407695023	NA	NS-Delta
NS-Delta-1.1.2.2_OTU2	0.000208620186089206	0.000463216406282899	0.00108281812148521	0.000259639101648708	0.000445831475702185	0.000705965407695023	NA	NS-Delta
NS-Delta-1.1.2_OTU2	0.00183585763758501	0.00130542805406999	0.00118760697195152	0.00233675191483837	0.000891662951404369	0.000470643605130015	NA	NS-Delta
NS-Delta-1.1.3	0.000250344223307047	0.000421105823893544	0.000419155401865242	NA	NA	NA	NA	NS-Delta
NS-Delta-1.1.3_OTU1	NA	NA	NA	0.0885369336622095	0.0934016941596077	0.0554182845040593	NA	NS-Delta
NS-Delta-1.1.3_OTU2	0.174573371719448	0.213458542131638	0.125571972475462	0.185382318577178	0.197503343736068	0.128132721496647	NA	NS-Delta
NS-Delta-1.Incertae_sedis.3_OTU2	0.0489214336379188	0.062492104265802	0.144364106325754	0.0354407373750487	0.0399019170753455	0.0847158489234028	NA	NS-Delta
NS-Delta-1_OTU9	NA	NA	NA	0.00714007529533948	0.00713330361123495	0.00176491351923756	NA	NS-Delta
NS-Delta-2	NA	NA	NA	0.00428404517720369	0.00401248328131966	0.00188257442052006	NA	NS-Delta
