tax	Amplicon sequencing	Targeted metagenomics	Shotgun metagenomics	col
NS	NA	0.00677587824165793	NA	NS
NS-Alpha-3	0.0187069430720999	0.0157577440039622	NA	NS-Alpha
NS-Alpha-3.1	0.000102174134636528	NA	NA	NS-Alpha
NS-Alpha-3.1.1	6.75329520121649e-05	0.00239730491029273	NA	NS-Alpha
NS-Alpha-3.1.1.1	NA	0.00611936829608201	NA	NS-Alpha
NS-Alpha-3.1.1.1_OTU1	5.59204838215285e-05	NA	NA	NS-Alpha
NS-Alpha-3.1.1.1_OTU2	0.0101797014416753	0.000944845263096517	NA	NS-Alpha
NS-Alpha-3.1.1.1_OTU3	0.00805855298391147	0.0188707546532974	NA	NS-Alpha
NS-Alpha-3.1.1.2_OTU3	0.000249656334611252	0.00164409590753299	NA	NS-Alpha
NS-Alpha-3.1.1.3	0.000130665138817676	NA	NA	NS-Alpha
NS-Alpha-3.1.1.Incertae_sedis_OTU1	0.00485906777302323	0.00898880130253715	NA	NS-Alpha
NS-Alpha-3.1.1_OTU4	2.32864112147356e-05	NA	NA	NS-Alpha
NS-Alpha-3.1.2	NA	0.00756891864802823	NA	NS-Alpha
NS-Alpha-3.1.2_OTU1	0.011933313439042	NA	NA	NS-Alpha
NS-Alpha-3.1.2_OTU2	0.0159195554545838	0.0143267781419524	NA	NS-Alpha
NS-Alpha-3.2.1.1	NA	0.000129819550824354	NA	NS-Alpha
NS-Alpha-3.2.1.1.1.2_OTU2	0.00012335532485992	0.000239374685745624	NA	NS-Alpha
NS-Alpha-3.2.2_OTU1	NA	8.65463672162361e-05	NA	NS-Alpha
NS-Alpha-3.2.2_OTU7	4.88068918113191e-05	0.000208260151679357	NA	NS-Alpha
NS-Alpha-3.2.3	NA	0.00209508619994299	NA	NS-Alpha
NS-Alpha-3.2.3.1	0.000205053986059041	0.00205758678951427	NA	NS-Alpha
NS-Alpha-3.2.3.1.3_OTU1	0.00173712971215551	0.000654339042553606	NA	NS-Alpha
NS-Alpha-3.2.3.1.4	NA	0.0004582375404161	NA	NS-Alpha
NS-Alpha-3.2.3.1.4_OTU3	NA	0.00242289308635167	NA	NS-Alpha
NS-Alpha-3.2.3.1.7	NA	0.000583921736335816	NA	NS-Alpha
NS-Alpha-3.3.1	0.00075646914101548	0.00233171653388667	NA	NS-Alpha
NS-Alpha-3.3.1_OTU1	NA	0.000222915737851092	NA	NS-Alpha
NS-Alpha-3.3.1_OTU3	NA	0.000462372895320738	NA	NS-Alpha
NS-Beta-1	NA	0.0165978364237514	NA	NS-Beta
NS-Beta-1_OTU10	0.0186592564090781	0.0166459872077804	NA	NS-Beta
NS-Beta-1_OTU4	0.0047706465879907	0.00213328303856732	NA	NS-Beta
NS-Beta-1_OTU6	0.000137263337265867	NA	NA	NS-Beta
NS-Beta-1_OTU9	0.00555525092543255	0.0071610327424898	NA	NS-Beta
NS-Beta-2	NA	0.00170591261704542	NA	NS-Beta
NS-Beta-2.1_OTU2	0.000307682039424124	0.000855801959250396	NA	NS-Beta
NS-Beta-2.2_OTU2	0.000689366380918101	0.00204149538291925	NA	NS-Beta
NS-Beta-2_OTU1	0.00108556634063024	0.00165039831217143	NA	NS-Beta
NS-Delta-1	0.0157765120316743	0.101376189674015	NA	NS-Delta
NS-Delta-1.1	0.000367580107140483	0.000643736339562488	NA	NS-Delta
NS-Delta-1.1.2	0.000207153308326806	NA	NA	NS-Delta
NS-Delta-1.1.2.1	NA	0.0392444243403063	NA	NS-Delta
NS-Delta-1.1.2.1_OTU12	0.00244857541514627	0.000989756864979389	NA	NS-Delta
NS-Delta-1.1.2.1_OTU13	0.0465434700806487	0.0159475722967898	NA	NS-Delta
NS-Delta-1.1.2.2	NA	0.000643571396114444	NA	NS-Delta
NS-Delta-1.1.2.2_OTU2	0.000584884904619104	0.000470478661681972	NA	NS-Delta
NS-Delta-1.1.2_OTU2	0.00144296422120217	0.00123301949045759	NA	NS-Delta
NS-Delta-1.1.3	0.000363535149688611	NA	NA	NS-Delta
NS-Delta-1.1.3_OTU1	NA	0.0791189707752922	NA	NS-Delta
NS-Delta-1.1.3_OTU2	0.171201295442182	0.170339461269964	NA	NS-Delta
NS-Delta-1.Incertae_sedis.3_OTU2	0.0852592147431581	0.0533528344579323	NA	NS-Delta
NS-Delta-1_OTU9	NA	0.00534609747527066	NA	NS-Delta
NS-Delta-2	NA	0.00339303429301447	NA	NS-Delta
NS-Delta-2.1	0.0433015309940131	0.0324777741730267	0.666666666666667	NS-Delta
NS-Delta-2.1_OTU1	NA	0.0623806478051241	NA	NS-Delta
NS-Delta-2.1_OTU2	0.166677085976336	0.0336909416062013	NA	NS-Delta
NS-Delta-2.2	NA	0.000412467420178097	NA	NS-Delta
NS-Delta-2.2.1_OTU2	0.00502859030325208	0.00412217341186257	NA	NS-Delta
NS-Delta-2.2.1_OTU4	0.000130278593646163	NA	NA	NS-Delta
NS-Delta-2.2.2_OTU3	0.00238659696513172	0.00173072474647325	NA	NS-Delta
NS-Epsilon-2.1_OTU5	NA	0.00020420726849874	NA	NS-Epsilon
NS-Epsilon-2.2	NA	0.0201376478991174	NA	NS-Epsilon
NS-Epsilon-2.2_OTU5	0.000423273631597734	0.0374116027638442	NA	NS-Epsilon
NS-Gamma-1	NA	0.000340494167409574	NA	NS-Gamma
NS-Gamma-1.1	NA	0.000148610491900728	NA	NS-Gamma
NS-Gamma-1.1_OTU2	6.98284962274755e-05	NA	NA	NS-Gamma
